번호,작성자,작성일,댓글,회차,좋아요,대댓글수
4704,NK,17.02.20,블록버스터의 그 저주.. 나도 좀 걸려보고싶네 영준씨~~ ㅋ,김 비서가 왜 그럴까(애장판) 18화,3,댓글 달기
4705,cacao,17.02.19,미소 똑똑하다 ...,김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4706,zefreesun522,17.02.19,"집안 대청솤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
헐 대박에서 뿜었다",김 비서가 왜 그럴까(애장판) 15화,3,댓글 달기
4707,수달,17.02.19,"이제 직원들한테도 박박사한테도 들켜버리고 말았네요. 사람들 앞에서 영준이 너무 터프해요ㅎ보는 사람이 더 부끄러울 듯 하네요. 이제 공개연애..!그리고 박박사 유식이가 하는 말들 진짜 웃겨요!!! 영준이 '치료가 필요한 중증 나르시시스트', 성연이는 '마성의 남자' 라는 표현은 정말 둘의 특징에 안성맞춤인 것 같아요 이 표현 읽는데 그만 소리내서 웃을 뻔ㅎㅎ",김 비서가 왜 그럴까(애장판) 47화,3,댓글 달기
4708,이름,17.02.19,빅뱅안드로메다슈퍼노바소닉의 개껌은 정말 많이 나왔어,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4709,으아니~이런일이?,17.02.19,"미소야 안타깝지만....
영준이만한 남자가 없다...
성격만 니가 잘 리드해서 잘 살아봐",김 비서가 왜 그럴까(애장판) 20화,3,댓글 달기
4710,나.,17.02.19,#나를_설레게하는_이야기 이번편은 영준의 시점에서 그날의 일을 알 수 있어서 좋네요 다음편도 속시원하게 궁금증이 해결됐으면 좋겠어요,김 비서가 왜 그럴까(애장판) 44화,3,댓글 달기
4711,sugoina,17.02.19,부모님들이 그러셨지..너도 너 꼭!!!닮은 자식 낳아봐라!!!!그래야 내맘 안다!!!!!,김 비서가 왜 그럴까(애장판) 70화,3,1
4712,속삭임,17.02.19,"엄마가 아이보다 심약해진..  ㅠㅠ
엄마도 성현이도 (토닥토닥. .  꼬옥)",김 비서가 왜 그럴까(애장판) 45화,3,댓글 달기
4713,통장에소설배팅,17.02.19,"ㅋㅋㅋㅋㄱㄱㄱㅋㄹㄹ아유 귀여운 것들
예나 지금이나 힘들 때 곁에 위로를 건네준 건 미소였네요:)",김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4714,차차,17.02.19,"돈많은 집에서 왜 치료를 안했지?
역시 정신과 치료라 소문?
결국은 남들 눈치가 두려운 부모?
제발 다른 이유여라",김 비서가 왜 그럴까(애장판) 26화,3,댓글 달기
4715,체리쿄쿄,17.02.19,#이벤트 참여 #미소가 전생에 나라를 구했나봐요먹고 자고 하고는 넘웃기고저런프로포즈는 넘멋지네요 ㅋㅋ오빠라고 해주는 시어머니 넘좋네요,김 비서가 왜 그럴까(애장판) 66화,3,댓글 달기
4716,오이소백,17.02.19,첨엔 이해를 못했던 영준을 지금은 누구보다 잘 이해하는 미소..,김 비서가 왜 그럴까(애장판) 19화,3,댓글 달기
4717,라라므데라르,17.02.19,"미소, 노력 많이 했구나",김 비서가 왜 그럴까(애장판) 11화,3,댓글 달기
4718,수달,17.02.19,영준이 한 두번이 아니지만 말할 때마다 스캐일이 다르네요. 이러한 것들이 미소를 생각해 주는 마음이 느껴지네요.  그리고 미소에게 깊은 동질감과 눈물날 정도의 따스한 위로를 해주고 미소는 위로를 받으니 점점 둘의 마음이 통하는 건 시간문제네요! 과거 사건의 실마리를 이렇게 하나하나 풀고 이제 미소의 과거의 의문점들을 해결해나가네요. 둘의 진도 기대해봅니다!,김 비서가 왜 그럴까(애장판) 38화,3,댓글 달기
4719,수달,17.02.19,"처음 보고 난 후에도 다시 보게 되는 것 같아요 만화와 소설을 함께 보니 더 좋고 미소와 영준이의 모습도 머릿속에서 상상이 가니까 재미도가 더 높아져요! 9년동안이나 자기애가 강한 영준의 곁에서 비서 일을 해내다니... 미소는 정말 대단하네요! 너무나도 잼있어서
기무이지만 캐시써가며 읽게 되네요 이런 좋은 작품을 카카오페이지에서 접하게 되어 정말 고마워요!",김 비서가 왜 그럴까(애장판) 01화,3,댓글 달기
4720,지나가는객,17.02.19,미소라서  집착  하는  부회장님. . . .  그것조차  알콩달콩,김 비서가 왜 그럴까(애장판) 60화,3,댓글 달기
4721,탱글탱글,17.02.18,"만화로보고 소설로바도 질리지않아요
tv에서바도좋을거 깉네요^^",김 비서가 왜 그럴까(애장판) 22화,3,댓글 달기
4722,용용이,17.02.18,기무여서 슬쩍보다 푹빠져버려서 처음으로 돈써가며읽었네요~  드라마나오면 잼날거같아용~^^,김 비서가 왜 그럴까(애장판) 78화,3,댓글 달기
4723,지니,17.02.18,형아가자기한테있었던것처럼말할때일부로기억안나는척했는게 배려 라는뜻이엿군..미소는머지..?,김 비서가 왜 그럴까(애장판) 26화,3,댓글 달기
4724,Flora.Choi,17.02.18,"아... 한몫에 몰아서 보고싶은 충동이... 
아.... 그간 끝었던 만화의 세계에 다시 몰입하려는 움직임이.... 아.... 너무 잼나네요...ㅠㅠ",김 비서가 왜 그럴까(애장판) 13화,3,댓글 달기
4725,한연덕,17.02.18,카~톡 왔 숑 카~~~추억의 소리 빨리 보내주삼 ㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4726,공잔미앓이,17.02.18,자뻑 자뻑 자뻑 금물 금물 금물 금물!!,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4727,selma001,17.02.18,"하하하...립밤까지 쓸정도면 편해도 너무 편한거 아냐?
미소야 영준이 누구랑 그런걸 나눠쓸인간이니...
너를 그만큼 좋아하는거지.....
절대 다른여자랑은 하지못하지...암~~",김 비서가 왜 그럴까(애장판) 37화,3,댓글 달기
4728,selma001,17.02.18,"난 큰언니를 오해할뻔했네 뜸을 들이면서 얘기하길래 돈얘기하는줄 알았네...
근데 미소언니들은 나쁜사람들이 아닌거 같아 흐믓하네...",김 비서가 왜 그럴까(애장판) 34화,3,댓글 달기
4729,빵야~~,17.02.18,이벤트인 기무세번  못기다려 캐시 지르고 휴일인 토요일 하루 올인할랍니다.부회장님 화이팅 행운을 빌어요,김 비서가 왜 그럴까(애장판) 14화,3,댓글 달기
4730,소설중독,17.02.18,영준이.....♡츤츤하네,김 비서가 왜 그럴까(애장판) 11화,3,댓글 달기
4731,달달,17.02.18,"💕💕💕💕💕💕💕
삼시세편💕💕💕💕
💕💕💕💕💕💕💕",김 비서가 왜 그럴까(애장판) 17화,3,댓글 달기
4732,두리뭉실둥실,17.02.18,"하 진짜 내 심장이 다 벌렁거릴정도로 달달하다♥♥
느끼함도 밋밋함도 아닌 딱 느끼함이 오기전까지의 최고의 달달함이야♥♥",김 비서가 왜 그럴까(애장판) 62화,3,댓글 달기
4733,♡현♡,17.02.18,"아아.. 솔직히 말하는김에 다 말하지... 왜 그러지 못했을까? 궁금하네.. 
하여튼.. 영준 멋짐요!",김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4734,체리쿄쿄,17.02.17,#이벤트참여 #신혼의 단꿈은 날라갔네요  ㅋㅋ 그래도 9년 같이 지냈으니 달달함은 없었지만 다른 커플보다는 훨낫네요 ㅋㅋ,김 비서가 왜 그럴까(애장판) 68화,3,댓글 달기
4735,소설중독,17.02.17,오....부회장님이 미소가 찾는 그 오빠구나..!! 영준인 기억하나보네,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4736,mn,17.02.17,역시나 그 오빠는 영준이 였던듯,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4737,김희정,17.02.17,남자의 자존심인가? 빤스 한장이...,김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4738,티르샤,17.02.17,사고방식 참 독특해~~,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4739,김비서가기무가됐어요^^♡♡,17.02.17,김비서...맘에들어요~~~~,김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4740,HAPPY~♡,17.02.17,미소가 찾으려는 사람이 코앞에 있었네ㅋㅋ,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4741,구미호,17.02.17,사모님도 며느리로 찍엇으니 이젠 부회장 영준이 너 찍을 차례야,김 비서가 왜 그럴까(애장판) 11화,3,댓글 달기
4742,고양이,17.02.17,녜녜~ 결혼까진 바라지말구 연애까지라굽쇼~? 어므나 황송하여서 우짜쓰까나 (방글방글) ㅋ,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4743,닐리♥,17.02.17,"근데 프로필사진 여주 보니까 
이종석나왔던 W드라마 수봉이가
잠깐 황석정작가네 일할때
눈크게 그리라고 얼굴반이 눈이여야한다던
그 그림이 생각나ㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 16화,3,1
4744,사랑해,17.02.17,아 놔~~ 웃겨 죽는줄 알았넼ㅋㅋㅋㅋㅋ 밤 12시반에 자기전에 한편 가벼운 마음으로 보고 자려다 터져나오는 웃음을 막을길이 없어 결국 눈물 콧물 다흘리고 웃다보니 ..... 껌껌한 방에서 혼자 머쓱머쓱,김 비서가 왜 그럴까(애장판) 21화,3,댓글 달기
4745,완오,17.02.17,아 진짜 김비서님 너무 좋다 우리의 엄비서님도 좋았지만 김비서님은 김비서만의 그 카리스마가 아주!!! 어우 반했다,김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4746,체리쿄쿄,17.02.16,#이벤트 참여 #거미 무서워하는 남주와 여주 같은 기억을 공유하고 있다는게 참아름답네요 영준이가 미소가 기억못하는 부분까지도 다 기억하는것같아 좋은데요 영준아 어서 네정체를 밝혀,김 비서가 왜 그럴까(애장판) 06화,3,댓글 달기
4747,selma001,17.02.16,"역시 예상대로 영준이가 그때의 오빠구나...
근데 이름이...그때그이후로 이름을 개명했나?
이제 곧 미소도 기억을 좀 할려나.?그때 무슨일이 있었던거지?",김 비서가 왜 그럴까(애장판) 18화,3,댓글 달기
4748,김혜원,17.02.16,"- 너무 달달한 내용과, 캐시를 지르게되는 설레임으로 보는사람을 심쿵하게 했으므로 체포합니다 -
이름: 정경윤
사례금: ♥♥♥
위 작가님을 찾으신분은 댓글로 연락바랍니다.",김 비서가 왜 그럴까(애장판) 41화,3,댓글 달기
4749,구미호,17.02.16,김미소가 내가 점찍은 며느리다 왜 말을 못해,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4750,🌸🌸고냥이로소이다🌸🌸,17.02.16,"미서 너무 웃겨.ㅋㅋㅋ 
지란이 쟤도 웃기고.ㅋㅋㅋ
남주도 웃기고.ㅋㅋㅋㅋ 
사장도 웃기고.ㅋㅋ
개그 소설 너무 좋아ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4751,수정,17.02.16,"이 소설 재밌다
이런 남주여주 캐릭은 또 처음이네",김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4752,👑月靈(월령)흑♥백♡,17.02.16,원작에 충실하셨네요ㅎㅎㅎㅎ 아! 만화가 원작에 충실했다는 말이예요ㅎㅎㅎ,김 비서가 왜 그럴까(애장판) 02화,3,댓글 달기
4753,ㅇㅇ,17.02.16,뭔가 남주는 평소에도 빅뱅안드로메다슈퍼노바소닉이라고 다 불렀을듯ㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 16화,3,댓글 달기
4754,고양이,17.02.16,과거에 오빠가 부회장 같은데.. 뭔일있었나벼 ㅋ,김 비서가 왜 그럴까(애장판) 05화,3,댓글 달기
4755,ShootingStar,17.02.16,저런 ㅋㅋ 박 박사님도 고생이 많아요.,김 비서가 왜 그럴까(애장판) 59화,3,댓글 달기
4756,ShootingStar,17.02.16,저런 일이니. 미소네는 모를 수 밖에요.,김 비서가 왜 그럴까(애장판) 54화,3,댓글 달기
4757,ShootingStar,17.02.16,언젠간 바로잡아야 하는겁니다.,김 비서가 왜 그럴까(애장판) 46화,3,댓글 달기
4758,ShootingStar,17.02.16,11세면 미성숙한 정신이기 때문에  그 책임은 부모님에게  물어마땅합니다. 35세인데도  그러는 것은 성연 본인의 책임이죠.,김 비서가 왜 그럴까(애장판) 44화,3,댓글 달기
4759,변영미(최승민맘),17.02.16,영준이가 그 오빠다.왜 진실을 알면서 얘기를 안하지?,김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4760,NK,17.02.16,왜 내 지난 어린 날에는 이렇다 할 추억의 오빠가 없는가.. 소설은 정녕 소설일 뿐인가.. ㅜㅜ,김 비서가 왜 그럴까(애장판) 05화,3,댓글 달기
4761,현서,17.02.16,와 영준이는 다기억하구 잇엇네!,김 비서가 왜 그럴까(애장판) 18화,3,댓글 달기
4762,⸜(*ˊᗜˋ*)⸝,17.02.16,"#나를 설레게 하는 이야기
제목보고 뻔한 이야기라고 생각했지만 절.대 그렇지않은 반전있는 소설이여서 너무너무 재미있게 읽었습니다! 사랑합니다 작가님♥",김 비서가 왜 그럴까(애장판) 77화,3,댓글 달기
4763,혀니,17.02.16,제 3자인 회장님도 아는데 정작 당사자인 둘은 왜 모르니? 너흰 이미 부부보다 더하다는걸,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4764,안개,17.02.15,기가장난아니구만...역시이래서남주가너를놔주기싫은거여,김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4765,구미호,17.02.15,이남자 보소 무슨 연애를 적선하듯 하자네 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4766,산타,17.02.15,그래요 나랑 사겨요(거부따윈 무시한다),김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4767,효미니,17.02.15,"완전  잼나서
만화로도  함  또봐요
작가님  덕분에  마니  웃고  갑니다
작가님  다른  작품도  보고  싶네요",김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4768,나잡아봐라,17.02.15,난 본건데 또 보고 있네ᆢ 흐흑,김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4769,달달,17.02.15,"영준아
입에장미꽃물고청혼해!!!
얼른.........",김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4770,행복하지,17.02.15,진짜 괜찮은 상사였네 나쁜 상사가 아니라 다행이네,김 비서가 왜 그럴까(애장판) 11화,3,댓글 달기
4771,꼬막,17.02.15,근데 식스센스..아직 안봤는데...언젠가 볼랬는데...이제 어디선가 식스센스급 반전!! 할 때마다 생각나겠네요..,김 비서가 왜 그럴까(애장판) 50화,3,댓글 달기
4772,꼬막,17.02.15,그래도 성연이 완전 또라인아니라다행,김 비서가 왜 그럴까(애장판) 50화,3,댓글 달기
4773,썰ㅡ,17.02.15,#로라 : 눈이 초롱한걸 보니 내 발목을 잡는 일은 없겠지? 일단 오빠로 생각해 볼께,김 비서가 왜 그럴까(애장판) 73화,3,1
4774,키키,17.02.15,"정말 오랫만에 맘에 드는 여주를 보네요^^
오문 만큼 매력적인 캐릭터예요~~",김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4775,옥이,17.02.15,미소도  자살한 여자를  봣엇군요. . . . . .,김 비서가 왜 그럴까(애장판) 50화,3,댓글 달기
4776,silk,17.02.15,먹는거 줄여가며 악착같이 버티고 살았구나... 그 몸매 유지하려면 얼마나 고달픈데...거기다 살인적인 스케줄소화해서 일하구...ㅠㅠ,김 비서가 왜 그럴까(애장판) 03화,3,댓글 달기
4777,혀니,17.02.14,와 나르시즘 있는 남주들 꽤 봐왔지만 쟤는..최고봉... 진짜 니가 다해먹어라,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4778,팬아트하고싶은데똥손ㅠㅠ,17.02.14,"용,봉,송,해
네쌍둥이??",김 비서가 왜 그럴까(애장판) 67화,3,댓글 달기
4779,행복한묘생,17.02.14,왠지하트 부회장한테 날릴듯ㅋ,김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4780,유피오나,17.02.14,어머나 멍이 왜들어있었을까><,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4781,Erica,17.02.14,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 작가님 19금 소설 써도 웃길 거 같다,김 비서가 왜 그럴까(애장판) 33화,3,댓글 달기
4782,"밤하늘빛술한잔,별빛안주한입",17.02.14,"나도 모르게 ""미친 놈!!""이라 중얼거렸다...............................ㅋㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 08화,3,1
4783,hb0529,17.02.14,영준이는 한눈에 알아봤구나...,김 비서가 왜 그럴까(애장판) 74화,3,댓글 달기
4784,야옹이~!!!,17.02.14,거미 알고있었넼ㅋㅋㅋㅋㅋ 으류 츤데레,김 비서가 왜 그럴까(애장판) 06화,3,댓글 달기
4785,두리뭉실둥실,17.02.14,둘다 넘 귀엽뜨아~♥,김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4786,행복한묘생,17.02.14,"만화랑 같이보는데
역쉬 그림으론 다담지못하는구나.",김 비서가 왜 그럴까(애장판) 11화,3,댓글 달기
4787,manza,17.02.14,"앜ㅋㅋㅋ귀여웧ㅎㅎㅎㅎㅎㅎㅎㅎㅎ
프로포즈 먼저 했었넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4788,읽다가뿜,17.02.14,#영준씨가 나를 설레게 하네용~,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4789,달토끼양,17.02.14,"외전시작이군요
몇화부터 외전인지몰라서 거꾸로읽고있다가 이제 찾았네요
뒤부분이 궁금해서 도서관에서 2권만 빌려읽었는데 에필로그까지 나오고 끝나서...
외전도 재미있네요 ^^",김 비서가 왜 그럴까(애장판) 70화,3,댓글 달기
4790,빨간머리앤,17.02.14,못났다  쯧쯧... 연애는 편의점에서 삼각김밥하나  사는거아닌줄  알텐데...,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4791,나여니,17.02.14,이제 성연이가 기억을 찾은건가요?,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4792,전정밥,17.02.14,"#나를_설레게하는_이야기
웹툰이 3화까지무료라 너무 더보고싶어도 돈없는중딩의처지라 못보고있었는데 소설도있다는걸 오늘알아서 소설로보고있어요 근데 상상되니까 더재밌어요ㅜㅜㅜ😚 이렇게설레는거처음봐요ㅠㅠㅠ",김 비서가 왜 그럴까(애장판) 15화,3,댓글 달기
4793,민껑♡♡♡,17.02.13,푸하하하하 개떡 스티커,김 비서가 왜 그럴까(애장판) 27화,3,댓글 달기
4794,김혜란,17.02.13,읽으면서 웃음이 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4795,매력만렙><,17.02.13,ㅈㄴ 매력터져 ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 09화,3,댓글 달기
4796,rosemarilly,17.02.13,저기 어디 옆집에 아이디가 곧휴가철인 녀석도 있지요 ㅎㅎ,김 비서가 왜 그럴까(애장판) 75화,3,댓글 달기
4797,꼬막,17.02.13,아..진짜 너무해..너무해..그러면 안되는거잖아..엄마라는 사람이 그러면 안되는거잖아...,김 비서가 왜 그럴까(애장판) 45화,3,댓글 달기
4798,아이나라이나,17.02.12,성기야ㅋㅋㅋㅋ넌 왜 성기니?ㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 30화,3,댓글 달기
4799,마미냥,17.02.11,아 넘 좋은소설,김 비서가 왜 그럴까(애장판) 05화,3,댓글 달기
4800,쪼아,17.02.10,만화 보다가 소설로 넘어 왔어여 ㅠ ㅠ 그림체로 빨리 보고싶은것,김 비서가 왜 그럴까(애장판) 65화,3,댓글 달기
4801,정미경이삔여우,17.02.10,어릴적 아픈기억에도 미소를 향한 맘 넘 멋있어요~~,김 비서가 왜 그럴까(애장판) 57화,3,댓글 달기
4802,서니,17.02.10,아빠 꼭 닮은 아들  아빠가 강아지 이름 짓듯이 태명도 똑같이 지으려하네요,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4803,도빈,17.02.09,너무 재미있어요,김 비서가 왜 그럴까(애장판) 53화,3,댓글 달기
4804,이세빈,17.02.09,"#미소가 똑똑하긴한데 조금 더 러브러브한게 있었으면ㅠㅠ
근데 또 그게 미소만의 매력이니까^^",김 비서가 왜 그럴까(애장판) 36화,3,댓글 달기
4805,책은다좋아,17.02.09,그냥 같이 살기만 하면 될듯^^,김 비서가 왜 그럴까(애장판) 37화,3,댓글 달기
4806,서*숙,17.02.09,"저런 비서가 있을까,이 세상에?",김 비서가 왜 그럴까(애장판) 04화,3,댓글 달기
4807,뜌뜌,17.02.08,박박사 귀여워 ㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 47화,3,댓글 달기
4808,사나언니짱,17.02.07,처음 소설읽기시작했을땐 분명 나쁜남자로맨스였는데어느순긴부터 추리소설로ㅋㅋ 정주행하신분들이 스포대신 댓글다시는분들은 코난이다했으니  목매단거랑납치는 맞는거같고 진도가팍팍나갔음 좋겠는데 싶은찰라에 꽁냥 꽁냥 어디서부터냐 거기로넘어가서 보겠다는 댓글에 빵터지고급공감하고..진짜 대학졸업후로 만화 책 다 담쌓았는데 중독수준ㅡㅜ 벗어날수있으려나,김 비서가 왜 그럴까(애장판) 24화,3,댓글 달기
4809,manza,17.02.06,영준이 일부러 기억 잃은척 하는 거에요? 그럼 영준이 너무 불쌍한데...ㅠ,김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4810,달토끼양,17.02.03,미소가 알려준 전화번호 푸핫 일팔일팔 ㅋ,김 비서가 왜 그럴까(애장판) 32화,3,댓글 달기
4811,bella,17.01.31,기억 조각 둘째치고~~ 이 두사람 이제 시작인거니~~심쿵심쿵하네^^,김 비서가 왜 그럴까(애장판) 40화,3,댓글 달기
4812,aaron,17.01.28,순간 영준이 멘트에 빵터집니다 '-',김 비서가 왜 그럴까(애장판) 62화,3,댓글 달기
4813,정령,17.01.28,거미가 그미친뇬이 목메단건가보네,김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4814,LEGNA,17.01.26,김비서 보곤 이기주의자라 하면서 남주님이 더 심한 것 같은데요😒,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4815,아몰라,17.01.23,"영준 : (8페이지)나 지금 웃어야하니 울어야하니?
미소 : 달려라하니!^^",김 비서가 왜 그럴까(애장판) 52화,3,댓글 달기
4816,룻시~~^^,17.01.22,음~~뭘까~~대인을 위해  소인이 희생하겠다는  그런 코스프레???,김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4817,사이다좋아,17.01.22,아ㅋㅋㅋㅋ신선한 남주,김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4818,이대로가조아,17.01.19,아...조으다~~^^ 울 남주 맘이 넘 넓은거아냐? 독불장군은 어디로가셨나?,김 비서가 왜 그럴까(애장판) 40화,3,댓글 달기
4819,이대로가조아,17.01.19,"정신병인가봐요...동생을 자기로 착각하구.
미소가 다리 절뚝였다한거보니,그게 영준이 아닐까싶은데, 성연이 일 저지르고 못견뎌 저리 망상이된거아닌가...",김 비서가 왜 그럴까(애장판) 35화,3,댓글 달기
4820,루아흐,17.01.17,"그럼 곧 마지막 소원도 들어주는건가요?
ㅋ 기대되는대요!",김 비서가 왜 그럴까(애장판) 17화,3,댓글 달기
4821,٩(๑'o'๑)۶,17.01.16,성연이를 얼른 언덕 위의 하얀 집에 데려다 줘야될꺼 같은데요 작가님 저정도면 중증,김 비서가 왜 그럴까(애장판) 42화,3,댓글 달기
4822,레이,17.01.15,이건 때리는 시어머니인건지 말리는 시누이인건지 ㅋㅋ 은근히 멕이네요,김 비서가 왜 그럴까(애장판) 58화,3,댓글 달기
4823,ㅇㅅaㅇ,17.01.12,기무 못참고 이북 사서 봤었는데 여기부터 이북에 없는 외전이네요,김 비서가 왜 그럴까(애장판) 72화,3,댓글 달기
4824,aaron,17.01.11,정말 매력 터지는 남주네요 흐믓..,김 비서가 왜 그럴까(애장판) 55화,3,댓글 달기
4825,뜌뜌,17.01.09,만화로 볼때는 영준이도 미소 아예 기억못하는 줄 알았더니 이제 보니 쓸쓸함 가을남자 느낌 제대로 나네ㅠ.ㅠ,김 비서가 왜 그럴까(애장판) 18화,3,댓글 달기
4826,채소많이먹어,17.01.07,진짜 캐릭타 독보적이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 거절의 경우는 생각도 안 했냐곸ㅋㅋㅋㅋㅋㅋㅋ,김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4827,여슨상mom,17.01.07,제목을 바꿔야할꺼 같아요 김비서가 아닌사 부회장님은 왜그럴까?로요...물론 미소를 지켜주기  위해서겠죠?,김 비서가 왜 그럴까(애장판) 48화,3,댓글 달기
4828,rilia,17.01.06,그 오빠가 남주 영준~,김 비서가 왜 그럴까(애장판) 07화,3,댓글 달기
4829,리이,17.01.06,미소:필요없는데요(웃음),김 비서가 왜 그럴까(애장판) 08화,3,댓글 달기
4830,ren,17.01.06,"ㅋㅋㅋㅋㅋ하트가 예사로 보이질 않네~~부회장도, 박박사도 즐기는 애니팡이라~~크핫!! 넘 웃기잖아!!ㅋㅋㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4831,유하라,17.01.06,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
키스 한방에 무너지는 달달한 영준이 귀엽다앙~~~~~",김 비서가 왜 그럴까(애장판) 41화,3,댓글 달기
4832,유하라,17.01.05,귀여운 한쌍♡,김 비서가 왜 그럴까(애장판) 36화,3,댓글 달기
4833,아름드리,17.01.05,나는 또 술마시고 혀꼬불어진 소리내는 줄ㅋㅋ,김 비서가 왜 그럴까(애장판) 60화,3,댓글 달기
4834,우리그냥사랑하게해주세요,17.01.05,어린 영준이 너무 멋지네요.. 슬플정도로ㅜㅜ,김 비서가 왜 그럴까(애장판) 53화,3,댓글 달기
4835,우리그냥사랑하게해주세요,17.01.05,너무 무서워요ㅠㅜ,김 비서가 왜 그럴까(애장판) 51화,3,댓글 달기
4836,쭈미,17.01.05,어제 있었던일 까발리시면 전 그 사내홈피 찾아가 봐드릴께요~^^,김 비서가 왜 그럴까(애장판) 41화,3,댓글 달기
4837,아름드리,17.01.04,아놔 부회장님!!!,김 비서가 왜 그럴까(애장판) 33화,3,댓글 달기
4838,monchegareto철벽녀,17.01.04,슬슬 마음의 짐을 내려놓나보네요,김 비서가 왜 그럴까(애장판) 41화,3,댓글 달기
4839,快乐主义者,17.01.04,닥쳐! 내껀 내가 까!,김 비서가 왜 그럴까(애장판) 19화,3,댓글 달기
4840,우리그냥사랑하게해주세요,17.01.04,회장님이 귀엽네요~,김 비서가 왜 그럴까(애장판) 10화,3,댓글 달기
4841,내맘,17.01.03,용 봉황  이기 개꿈이라니  떽!부정탈라,김 비서가 왜 그럴까(애장판) 67화,3,댓글 달기
4842,민트박하,17.01.02,"역시
성연이납치되는영준을무시한건가?
그러다가영준이기억을잃으니올타구나하면서피해자랑가해자를바꾸고?
혹시영준성연둘이배다른형제입니까?",김 비서가 왜 그럴까(애장판) 43화,3,댓글 달기
4843,베네베네,16.12.26,맥도리아~~~~,김 비서가 왜 그럴까(애장판) 31화,3,댓글 달기
4844,꺄륵,16.12.24,느낌표 15개 나만 세어봄?,김 비서가 왜 그럴까(애장판) 12화,3,댓글 달기
4845,이현숙,16.12.24,현실속에도 영준과같은 남자가 또 있을까요?ㅎㅇㅎ맨발이라도 뛰어가고 싶당~~~~~~~~~~,김 비서가 왜 그럴까(애장판) 55화,3,댓글 달기
4846,하루건너봄,16.12.15,저 두사람의 딸이면 무지 잘났을거야,김 비서가 왜 그럴까(애장판) 73화,3,댓글 달기
4847,공공칠뽕,16.12.11,드라마 제작하신다면  영준이는 현빈을 추천합니다  ♡.♡,김 비서가 왜 그럴까(애장판) 39화,3,댓글 달기
