번호,작성자,작성일,댓글,회차,좋아요,대댓글수
32,바람속을걷다,15.12.10,"어머니ᆢ니까요  조금 더 밖으로 아픈 아이에게 눈이 가고 손이 가죠 ᆢ
말마따나 좀더 강인한 성격이라 안의 상처를 안보여주니 ᆢ 부모라도 미처 살피지 못하고 성연이 정말 미쳐버릴까 두려웠고 영준은 이대로 가다간 형이나 엄마마저 그 유괴녀처럼 될까 ᆢ 두려웠겠죠 
그래도 ᆢ 영준 ᆢ정말 존경할만한 정신력이네요 그 어린 나이에ᆢ",김 비서가 왜 그럴까(애장판) 45화,587,40
33,별리와소리☆★,15.12.13,"아니ᆢ 이집은 뭔 태몽을 스펙타클하고도 범우주적으로 꾸냐구요 ㅋㅋ 
오로라를 흡입했데 ᆢㅎㅎ",김 비서가 왜 그럴까(애장판) 72화,582,10
34,바람,15.12.07,"자신과 함께 경험했던 그 공포의 기억을, 상처를 미소를 위해 혼자 감당하려고 하다니....ㅜㅜ
너란 남자... 사랑할 수밖에 없겠구나....",김 비서가 왜 그럴까(애장판) 55화,581,9
35,피융,16.01.07,신차 소개 축하공연에서 저런내용의 마술쇼를 한다는게 쫌... 미소의 트라우마를 꺼내기위한 소설속 장치겠지만 좀 아쉽.,김 비서가 왜 그럴까(애장판) 50화,572,13
36,별리와소리☆★,15.12.11,"왠지 ᆢ 들키는 키스까지 했는데ᆢ
빤스 얘기만 기억에 남아 ᆢ
이를 어째ᆢ ㅠㅠ",김 비서가 왜 그럴까(애장판) 47화,570,26
37,내안의광기,15.12.13,거미가 혹시 목 메달아죽은 여자의 시체가 아닐까 하는 나만의 생각~--;;,김 비서가 왜 그럴까(애장판) 49화,555,83
38,니냐니뇨,15.12.10,"헤헤헤....아주 핑크핑크하구먼...
불면에 시달리던 영준이 미소 덕분에
그동안 못잤던 잠들이 한꺼번에 몰려왔나봐요~~ㅋㅋㅋ",김 비서가 왜 그럴까(애장판) 41화,551,4
39,😳😳😳,15.12.28,영준아 너 설마 그이름 개명한거니?,김 비서가 왜 그럴까(애장판) 18화,543,16
40,달의정원,15.12.08,"인도지사ᆢ 곽대리가 생각나는구만
곽대리 승진을 핑계 삼아 가서 잘살지??
고귀남이 가면 적응할때까지 좀 도와줘 ㅋㅋ",김 비서가 왜 그럴까(애장판) 21화,543,68
41,예쁜웃음,15.12.07,거미 치워달라고 영준이 그랬겠지? 저 왕자병이 직접 하진 않을테고..그때부터 딱 찍혔네...ㅋㅋ,김 비서가 왜 그럴까(애장판) 06화,539,6
